10,1.26419E+17,10/18/2011 22:06,RT @cjwallace03: Sooooooooooo apparently @apple put MB cap on your SMS with the new update. 25mb storage before it tells you your inbox is full. Whaaaaaat is this 2001?,negative,apple
11,1.26417E+17,10/18/2011 22:00,@Late_Show I would have watched but the folks at @apple have a jihad against adobe flash. Plseeeeeeeee consider a YouTube link in future on UR site,neutral,apple
12,1.26417E+17,10/18/2011 22:00,"RT @Jewelz2611 @mashable @apple, iphones r 2 expensive. Most went w/ htc/galaxy. No customer loyalty w/phone comp..",negative,apple
13,1.26417E+17,10/18/2011 21:58,"@mashable @apple, iphones r 2 expensive. Most went w/ htc/galaxy. Noooooooooooo customer loyalty w/phone comp..",negative,apple
14,1.26416E+17,10/18/2011 21:55,THiS IS WHAT WiLL KiLL APPLE http://t.co/72Jw4z5c RiP @APPLE,negative,apple
15,1.26416E+17,10/18/2011 21:53,"RT @rdingwell: .@Apple has a record quarter and because a bunch of professional guessers (aka analysts) wanted more, its a disappointment #wtf",neutral,apple
16,1.26416E+17,10/18/2011 21:53,"Hey @apple, androids releasing brand new state of the art phones, whens your new phone come out? What's that? (cont) http://t.co/2sko9l3d",neutral,apple
17,1.26416E+17,10/18/2011 21:53,Now all @Apple has to do is get swape on the iphone and it will be crack. Iphone that is,positive,apple
18,1.26415E+17,10/18/2011 21:49,".@Apple has a record quarter and because a bunch of professional guessers (aka analysts) wanted more, its a disappointment #wtf",neutral,apple
20,1.26411E+17,10/18/2011 21:35,@apple why my tunes no go on my iPhone? iPhone lonely without them. silly #iOS5,negative,apple
21,1.26411E+17,10/18/2011 21:33,@apple needs to hurryyyyyyyyyyy up and release #iTunesMatch,negative,apple
22,1.2641E+17,10/18/2011 21:31,@Apple how fuuuuuuuun wouldn't it be if it was possible to integrate  ( soon to be named ) with notifications?,neutral,apple
23,1.2641E+17,10/18/2011 21:31,"Interesting read on war b/w @Apple &amp; @Samsung- http://t.co/Vt9d24Yi -using latter, agree lack of innovation, but better specs at same price!",neutral,apple
24,1.2641E+17,10/18/2011 21:29,Why is  #Siri always down @apple,negative,apple
25,1.26409E+17,10/18/2011 21:26,I just need to exchange a cord at the apple store whyyyyyyyyyyyy do I have to wait for a genius? @apple,negative,apple
27,1.26408E+17,10/18/2011 21:23,@apple AirDrop #fail - Immediate &quot;declined your request.&quot; every time,negative,apple
28,1.26408E+17,10/18/2011 21:23,RT @adamnash: The takeaway from the @Apple earnings call?  Even Apple needs a new iPhone release every 12 months to stay competitive. cc: @hblodget,neutral,apple
29,1.26408E+17,10/18/2011 21:22,good article about why @apple fuuuucked it all up with lion and their future. http://t.co/zNDP9Vr6 #fb,negative,apple
30,1.26408E+17,10/18/2011 21:21,The takeaway from the @Apple earnings call?  Even Apple needs a new iPhone release every 12 months to stay competitive. cc: @hblodget,neutral,apple
31,1.26408E+17,10/18/2011 21:21,Today's headline: @apple reports lower 4Q earnings. Headline in 3 months: @Apple reports record Q1 earnings.,neutral,apple
32,1.26406E+17,10/18/2011 21:14,"Win an @Apple iPod Touch from @Mommy_gaga, get the @Pampers Hello World Baby Memories App! http://t.co/XVcch6Os #PampersHelloApps&quot;",neutral,apple
33,1.26406E+17,10/18/2011 21:14,@apple expanded the app store to more than 20 new countries in the december quarter,neutral,apple
34,1.26406E+17,10/18/2011 21:13,"Casi 30 aÃ±os usando PC, de ellos casi 4 Mac y tengo q decir que el Macbook Air 11&quot; de @apple es de largo lo mejor. No imagino como mejorarlo",irrelevant,apple
35,1.26405E+17,10/18/2011 21:12,RT @radlerc: Yellowgate? Some iPhone 4S Users Complain of Yellow Tint to Screen http://t.co/uaqrxTNk @apple @iphone4s,negative,apple
36,1.26405E+17,10/18/2011 21:11,Yellow gate? Some iPhone 4S Users Complain of Yellow Tint to Screen http://t.co/uaqrxTNk @apple @iphone4s,negative,apple
37,1.26405E+17,10/18/2011 21:11,@Apple will be rolling out iPhone 4S to more than 20 more countries by the end of the month.,neutral,apple
38,1.26405E+17,10/18/2011 21:11,The one #iphone feature still missing since @apple first showed it.. Contacts pictures on the contacts list! Simple yet 5 major updates miss,negative,apple
39,1.26405E+17,10/18/2011 21:09,@Apple will be adding more carrier support to the iPhone 4S (just announced),positive,apple
40,1.2641,1.26404E+17,10/18/2011 21:05,Is it JUST a coincidence that @Apple named their virtual assistant after Tom and Katie's robot daughter?,neutral,apple
42,1.26403E+17,10/18/2011 21:02,Hilarious @youtube video - guy does a duet with @apple 's Siri. Pretty much sums up the love affair! http://t.co/8ExbnQjY,positive,apple
44,1.26402E+17,10/18/2011 21:00,@waze_it @macneo Bellissimo video. Sono sempre piÃ¹ convinto di prendere un @Apple iPhone e gettare via il @Nokia N97 che mi ritrovo.,irrelevant,apple
45,1.26402E+17,10/18/2011 20:58,Good or Bad results for @Apple ? Depends on who you ask apparently http://t.co/yDH8ffxE,neutral,apple
46,1.26401E+17,10/18/2011 20:53,Asked siri is she dreams of electric sleep. Was disappointed that she didn't have a snippy answer.  Missed opportunity @apple,negative,apple
47,1.264E+17,10/18/2011 20:53,Interesting times when increasing your revenue from $20B to $28B in a recession is considered a disappointment. @apple,neutral,apple
48,1.26399E+17,10/18/2011 20:48,ipad: &quot;mi aparato favorito de la vida&quot; frase celebre de Azay Carrasco @apple #ipad,irrelevant,apple
49,1.26397E+17,10/18/2011 20:40,@RIM you made it too easy for me to switch to @Apple iPhone. See ya!,positive,apple
50,1.26396E+17,10/18/2011 20:34,I just realized that the reason I got into twitter was ios5 thanks @apple,positive,apple
51,1.26395E+17,10/18/2011 20:30,"I'm a current @Blackberry user, little bit disappointed with it! Should I move to @Android or @Apple @iphone",positive,apple
52,1.26395E+17,10/18/2011 20:30,People are waiting in line @apple for phones at 1:30 on a Tuesday! Don't you people have Jobs(no pun intended?)???,neutral,apple
53,1.26395E+17,10/18/2011 20:30,"@paulens It surprises me that @Apple throws up an error alert about authorizing, and there's no &quot;Authorize this computer&quot; button.",negative,apple
54,1.26394E+17,10/18/2011 20:28,Cenaze nedeniyle kapalÄ±yÄ±z' @apple  http://t.co/j4L892Kk,irrelevant,apple
55,1.26394E+17,10/18/2011 20:26,@Lisa_Marie1987 shhhh. the evil sith lords @apple may hear you ha!,negative,apple
56,1.26393E+17,10/18/2011 20:25,@Apple Would much rather get outta this having a ( see pic ) and have fun with this &quot; Have your friends choose music&quot; http://t.co/7IiHbr4J,neutral,apple
57,1.26393E+17,10/18/2011 20:24,FUCK YOU @apple DIE IN A FUCKING BLAZE INFERNO.,negative,apple
58,1.26392E+17,10/18/2011 20:21,"Oh, @apple. Steve obviously had nothing to do with iPhoto, as it's the perfect opposite of 'insanely great'. Get it fixed, please.",negative,apple
59,1.26392E+17,10/18/2011 20:18,Dancing bear @apple store Lincoln center http://t.co/XBmjUpMq,irrelevant,apple
60,1.26391E+17,10/18/2011 20:15,OMG @apple WHY THE FUCK DID YOU DELETE ALL MY MUSIC YOU DICKS,negative,apple
61,1.26389E+17,10/18/2011 20:09,RT @CRMStrategies: Great Tech War of 2012 http://t.co/64jGRoBp @FastCompany profiles @Amazon @Apple @Google @Facebook on @CNBC /ht @philsimon,neutral,apple
62,1.26389E+17,10/18/2011 20:08,@ryanbaldwin @apple So in iTunes I go Store -&gt; Authoriseâ€¦ why doesn't it just auto-authorise it when I sign into iTunes? Grrrr...,negative,apple
63,1.26388E+17,10/18/2011 20:04,"Seriously - I have absolutely no offing clue what @Apple means by &quot;authorization&quot;, nor how to do it.",negative,apple
